title,link,reviewer,stars,gm,year,sentiment_sentiment_neg,sentiment_sentiment_neu,sentiment_sentiment_pos,sentiment_sentiment_compound,review_length,gm_predicted,gm_predicted_prob
The Meyerowitz Stories (New and Selected),https://www.rogerebert.com/reviews/the-meyerowitz-stories-2017,Odie Henderson,3.5,False,2017,-0.19685039370078738,-0.24924924924924952,0.165289256198347,0.9981995498874721,-0.19801616458486415,False,0.14736907
Marshall,https://www.rogerebert.com/reviews/marshall-2017,Matt Zoller Seitz,3.5,False,2017,-0.40157480314960625,-0.05105105105105068,0.09917355371900816,0.9986996749187299,-0.12356110702914525,True,0.9040072
Human Flow,https://www.rogerebert.com/reviews/human-flow-2017,Matt Fagerholm,4.0,False,2017,-0.26771653543307083,0.2192192192192186,-0.4049586776859505,-0.9459864966241559,-0.0372275287778594,True,0.99997544
For Ahkeem,https://www.rogerebert.com/reviews/for-ahkeem-2017,Nick Allen,3.5,False,2017,-0.6850393700787402,0.5915915915915919,-0.487603305785124,0.9832958239559891,-0.5165319617927995,False,0.0062177796
Faces Places,https://www.rogerebert.com/reviews/faces-places-2017,Glenn Kenny,3.5,False,2017,-0.5511811023622046,0.1531531531531538,-0.016528925619834656,0.9962990747686924,-0.6023757041391135,False,0.0
Brawl in Cell Block 99,https://www.rogerebert.com/reviews/brawl-in-cell-block-99-2017,Simon Abrams,3.5,False,2017,0.06299212598425208,-0.22522522522522515,-0.1570247933884299,-0.9710927731932982,-0.473426402155278,False,0.0
Dina,https://www.rogerebert.com/reviews/dina-2017,Sheila O'Malley,3.5,False,2017,-0.6692913385826771,0.07507507507507505,0.20661157024793386,0.9987996999249815,-0.4802841048248837,False,0.0
The Death and Life of Marsha P. Johnson,https://www.rogerebert.com/reviews/the-death-and-life-of-marsha-p-johnson-2017,Glenn Kenny,3.5,False,2017,-0.023622047244094446,0.04504504504504503,-0.4297520661157026,-0.9900975243810952,-0.5102865540044086,False,3.9891964e-13
Lucky,https://www.rogerebert.com/reviews/lucky-2017,Matt Zoller Seitz,4.0,False,2017,-0.5590551181102361,0.11711711711711725,0.03305785123966931,0.9983995998999752,-0.33810923340680876,False,0.13567996
Super Dark Times,https://www.rogerebert.com/reviews/super-dark-times-2017,Sheila O'Malley,3.5,False,2017,-0.11811023622047234,-0.1771771771771773,-0.016528925619834656,0.9893973493373345,-0.27687974528532944,False,0.13349327
I Am Another You,https://www.rogerebert.com/reviews/i-am-another-you-2017,Godfrey Cheshire,4.0,False,2017,-0.4645669291338582,0.08708708708708723,-0.024793388429751984,0.9964991247811955,-0.4223610090619643,False,4.4612783e-08
The Force,https://www.rogerebert.com/reviews/the-force-2017,Peter Sobczynski,3.5,False,2017,0.07086614173228356,-0.21321321321321296,-0.17355371900826455,-0.954688672168042,-0.3989713445995592,False,1.6055012e-12
Thirst Street,https://www.rogerebert.com/reviews/thirst-street-2017,Vikram Murthi,3.5,False,2017,-0.2362204724409448,-0.2852852852852852,0.24793388429752072,0.9975993998499627,-0.3879500367376929,False,0.0
First They Killed My Father,https://www.rogerebert.com/reviews/first-they-killed-my-father-2017,Matt Zoller Seitz,4.0,False,2017,0.0551181102362206,-0.24324324324324298,-0.11570247933884303,-0.9749937484371092,0.16078863580700453,True,0.9999757
Strong Island,https://www.rogerebert.com/reviews/strong-island-2017,Sheila O'Malley,3.5,False,2017,-0.5118110236220472,0.33333333333333304,-0.31404958677685946,0.9919979994998752,-0.2894930198383542,False,0.13899544
Brad's Status,https://www.rogerebert.com/reviews/brads-status-2017,Christy Lemire,3.5,False,2017,-0.4409448818897638,-0.4954954954954962,0.743801652892562,0.9994998749687424,-0.4992652461425423,False,0.0
Dayveon,https://www.rogerebert.com/reviews/dayveon-2017,Nick Allen,3.5,False,2017,-0.7480314960629921,0.3993993993993996,-0.14876033057851246,0.9973993498374596,-0.4540778839088906,False,0.08920775
Trophy,https://www.rogerebert.com/reviews/trophy-2017,Matt Zoller Seitz,4.0,False,2017,0.14960629921259838,-0.18318318318318294,-0.2975206611570249,-0.9979994998749687,-0.05351457261817294,True,0.9999753
Close Encounters of the Third Kind,https://www.rogerebert.com/reviews/close-encounters-of-the-third-kind-2017,Peter Sobczynski,4.0,False,2017,-0.6771653543307086,0.3873873873873874,-0.2148760330578513,0.9985996499124783,-0.12907176096007844,True,0.9291945
Dolores,https://www.rogerebert.com/reviews/dolores-2017,Matt Zoller Seitz,3.5,False,2017,-0.007874015748031482,0.021021021021021546,-0.41322314049586784,-0.9919979994998749,-0.41378888072495723,False,8.512466e-10
Terminator 2: Judgment Day 3D,https://www.rogerebert.com/reviews/terminator-2-judgment-day-3d-2017,Simon Abrams,4.0,False,2017,-0.14960629921259838,-0.3273273273273274,0.22314049586776852,0.9948987246811706,-0.37178545187362233,False,0.0
Beach Rats,https://www.rogerebert.com/reviews/beach-rats-2017,Sheila O'Malley,3.5,False,2017,-0.40944881889763785,-0.05105105105105068,0.10743801652892548,0.9958989747436862,-0.6429096252755327,False,0.0
Logan Lucky,https://www.rogerebert.com/reviews/logan-lucky-2017,Matt Zoller Seitz,3.5,False,2017,-0.40157480314960625,0.12912912912912944,-0.14876033057851246,0.9955988997249314,-0.19483223120254722,False,0.14849888
The Wound,https://www.rogerebert.com/reviews/the-wound-2017,Peter Sobczynski,3.5,False,2017,-0.45669291338582674,0.21321321321321296,-0.20661157024793386,0.9946986746686675,-0.36958119030124914,False,0.13108562
Ingrid Goes West,https://www.rogerebert.com/reviews/ingrid-goes-west-2017,Sheila O'Malley,3.5,False,2017,-0.4251968503937008,0.09909909909909942,-0.07438016528925617,0.9970992748187049,-0.29843252510409013,False,0.13682514
Whose Streets?,https://www.rogerebert.com/reviews/whose-streets-2017,Matt Zoller Seitz,3.5,False,2017,-0.023622047244094446,0.2852852852852852,-0.7603305785123966,-0.9987996999249812,-0.1734019103600294,True,0.99991465
Nocturama,https://www.rogerebert.com/reviews/nocturama-2017,Simon Abrams,3.5,False,2017,-0.08661417322834641,0.1531531531531538,-0.5123966942148761,-0.9930982745686421,-0.27577761449914284,False,0.15747677
The Trip to Spain,https://www.rogerebert.com/reviews/the-trip-to-spain-2017,Glenn Kenny,3.5,False,2017,-0.7795275590551181,0.5075075075075075,-0.2727272727272728,0.996599149787447,-0.49130541268675,False,0.03410846
Step,https://www.rogerebert.com/reviews/step-2017,Susan Wloszczyna,3.5,False,2017,-0.6614173228346456,0.24924924924924863,-0.04132231404958686,0.9986996749187299,-0.28741121724222385,False,0.13783997
Columbus,https://www.rogerebert.com/reviews/columbus-2017,Sheila O'Malley,3.5,False,2017,-0.7480314960629921,0.40540540540540526,-0.16528925619834722,0.9977994498624658,-0.3540289003183934,False,0.13715939
Menashe,https://www.rogerebert.com/reviews/menashe-2017,Nick Allen,4.0,False,2017,-0.1417322834645669,-0.30930930930930955,0.18181818181818166,0.993398349587397,-0.4566495224099927,False,0.0
